,Movie Name,Movie Rating,Genres,Release,Runtime,Director,Movie Link
134,Metal Lords,68.0,"Comedy, Drama, Music
",        04/08/2022       ,1h 37m,Peter Sollett,https://www.themoviedb.org/movie/739993
135,Space Jam: A New Legacy,71.0,"Family, Animation, Comedy, Science Fiction
",        07/16/2021       ,1h 55m,Malcolm D. Lee,https://www.themoviedb.org/movie/379686
136,Old,66.0,"Thriller, Mystery, Horror
",        07/23/2021       ,1h 48m,M. Night Shyamalan,https://www.themoviedb.org/movie/631843
137,The Help,82.0,"Drama
",        11/25/2011       ,2h 26m,Tate Taylor,https://www.themoviedb.org/movie/50014
138,Pursuit,56.0,"Action, Crime, Thriller
",        02/18/2022       ,1h 32m,Brian Skiba,https://www.themoviedb.org/movie/871799
139,Finch,81.0,"Science Fiction, Drama, Adventure
",        11/04/2021       ,1h 55m,Miguel Sapochnik,https://www.themoviedb.org/movie/522402
140,Dragon Ball Super: Super Hero,0,"Animation, Science Fiction, Action
",        06/11/2022       ,Not Define,Tetsuro Kodama,https://www.themoviedb.org/movie/610150
141,Curious George: Cape Ahoy,24.0,"Animation, Adventure, Comedy
",        09/30/2021       ,1h 28m,Doug Murphy,https://www.themoviedb.org/movie/918832
142,Harry Potter and the Philosopher's Stone,79.0,"Adventure, Fantasy
",        04/12/2002       ,2h 32m,Chris Columbus,https://www.themoviedb.org/movie/671
143,My Hero Academia: Heroes Rising,84.0,"Animation, Action, Fantasy, Adventure
",        12/20/2019       ,1h 44m,Kenji Nagasaki,https://www.themoviedb.org/movie/592350
144,Ripper Untold,64.0,"Horror
",        06/28/2021       ,1h 25m,Steven Lawson,https://www.themoviedb.org/movie/820511
145,The Privilege,50,"Horror
",        02/09/2022       ,1h 47m,Felix Fuchssteiner,https://www.themoviedb.org/movie/926980
146,The Croods: A New Age,76.0,"Animation, Family, Adventure, Fantasy, Comedy
",        11/25/2020       ,1h 35m,Joel Crawford,https://www.themoviedb.org/movie/529203
147,The Last: Naruto the Movie,78.0,"Action, Romance, Animation
",        12/06/2014       ,1h 54m,Tsuneo Kobayashi,https://www.themoviedb.org/movie/317442
148,Witch Hunt,71.0,"Fantasy, Horror, Thriller, Drama
",        10/01/2021       ,1h 32m,Elle Callahan,https://www.themoviedb.org/movie/670429
149,The Unholy,68.0,"Horror
",        04/02/2021       ,1h 39m,Evan Spiliotopoulos,https://www.themoviedb.org/movie/632357
150,The Amazing Spider-Man,67.0,"Action, Adventure, Fantasy
",        06/29/2012       ,2h 16m,Marc Webb,https://www.themoviedb.org/movie/1930
151,Raya and the Last Dragon,80,"Animation, Family, Fantasy, Action, Adventure
",        03/05/2021       ,1h 47m,Carlos López Estrada,https://www.themoviedb.org/movie/527774
152,The Mystery of Marilyn Monroe: The Unheard Tapes,63.0,"Documentary
",        04/27/2022       ,1h 41m,Emma Cooper,https://www.themoviedb.org/movie/953300
153,Miraculous World: Shanghai – The Legend of Ladydragon,79.0,"Animation, Comedy, Family, Adventure
",        05/15/2021       ,52m,Thomas Astruc,https://www.themoviedb.org/movie/726684
154,Fly Me Away,68.0,"Comedy, Drama
",        05/19/2021       ,1h 33m,Christophe Barratier,https://www.themoviedb.org/movie/783558
155,All Hail,62.0,"Comedy, Drama
",        03/30/2022       ,1h 58m,Marcos Carnevale,https://www.themoviedb.org/movie/682344
156,The Bubble,49.0,"Comedy
",        03/25/2022       ,2h 6m,Judd Apatow,https://www.themoviedb.org/movie/765119
157,Fantastic Beasts and Where to Find Them,74.0,"Adventure, Fantasy
",        11/18/2016       ,2h 12m,David Yates,https://www.themoviedb.org/movie/259316
158,Snake Eyes: G.I. Joe Origins,67.0,"Action, Adventure
",        07/23/2021       ,2h 1m,Robert Schwentke,https://www.themoviedb.org/movie/568620
159,The Tomorrow War,80,"Action, Science Fiction, Adventure
",        07/02/2021       ,2h 18m,Chris McKay,https://www.themoviedb.org/movie/588228
160,"Miraculous World: New York, United HeroeZ",83.0,"Animation, Family, Comedy, Adventure, TV Movie
",        11/21/2020       ,55m,Thomas Astruc,https://www.themoviedb.org/movie/755812
161,Naruto Shippuden the Movie,72.0,"Animation, Action, Fantasy
",        08/04/2007       ,1h 34m,Hajime Kamegaki,https://www.themoviedb.org/movie/20982
162,Jurassic World Dominion,0,"Adventure, Action, Science Fiction, Thriller
",        06/10/2022       ,2h 26m,Colin Trevorrow,https://www.themoviedb.org/movie/507086
163,Don't Breathe 2,74.0,"Thriller, Horror
",        09/17/2021       ,1h 38m,"Rodo SayaguesCharacters, ",https://www.themoviedb.org/movie/482373
164,KKN di Desa Penari,38.0,"Horror
",        04/30/2022       ,2h 3m,Awi Suryadi,https://www.themoviedb.org/movie/638985
165,Zeros and Ones,52.0,"Thriller, War
",        11/19/2021       ,1h 25m,Abel Ferrara,https://www.themoviedb.org/movie/762433
166,Wrath of Man,77.0,"Action, Crime, Thriller
",        05/07/2021       ,1h 59m,Guy Ritchie,https://www.themoviedb.org/movie/637649
167,Coraline,78.0,"Animation, Family, Fantasy
",        02/06/2009       ,1h 40m,Henry Selick,https://www.themoviedb.org/movie/14836
168,Hacksaw Ridge,82.0,"Drama, History, War
",        10/07/2016       ,2h 19m,Mel Gibson,https://www.themoviedb.org/movie/324786
169,Infinite,67.0,"Science Fiction, Action, Thriller
",        09/09/2021       ,1h 46m,Antoine Fuqua,https://www.themoviedb.org/movie/581726
170,Avengers: Age of Ultron,73.0,"Action, Adventure, Science Fiction
",        04/24/2015       ,2h 21m,Joss Whedon,https://www.themoviedb.org/movie/99861
171,Harry Potter and the Chamber of Secrets,77.0,"Adventure, Fantasy
",        04/25/2003       ,2h 41m,Chris Columbus,https://www.themoviedb.org/movie/672
172,Son,61.0,"Horror, Thriller
",        08/06/2021       ,1h 38m,Ivan Kavanagh,https://www.themoviedb.org/movie/754934
173,Love Like the Falling Petals,80,"Romance, Drama
",        03/24/2022       ,2h 8m,Yoshihiro Fukagawa,https://www.themoviedb.org/movie/890322
174,Back to the Outback,77.0,"Animation, Family, Adventure, Comedy
",        12/03/2021       ,1h 32m,Claire Knight,https://www.themoviedb.org/movie/770254
175,The Addams Family 2,71.0,"Animation, Adventure, Comedy, Family
",        10/01/2021       ,1h 33m,Greg Tiernan,https://www.themoviedb.org/movie/639721
176,Battle: Freestyle,51.0,"Romance, Drama
",        04/01/2022       ,1h 28m,Ingvild Søderlind,https://www.themoviedb.org/movie/785521
177,Dragon Fury,62.0,"Horror, Fantasy, Mystery
",        06/15/2021       ,1h 28m,Scott Jeffrey,https://www.themoviedb.org/movie/839436
178,The Last Duel,75.0,"Action, Drama, History
",        10/22/2021       ,2h 33m,Ridley Scott,https://www.themoviedb.org/movie/617653
179,The Wonderful Winter of Mickey Mouse,61.0,"Animation, Comedy
",        02/18/2022       ,24m,Ryan Gillis,https://www.themoviedb.org/movie/939336
180,Harry Potter and the Goblet of Fire,78.0,"Adventure, Fantasy, Family
",        11/18/2005       ,2h 37m,Mike Newell,https://www.themoviedb.org/movie/674
181,Riverdance: The Animated Adventure,53.0,"Animation, Fantasy, Music, Adventure, Comedy, Family
",        01/14/2022       ,1h 26m,Eamonn Butler,https://www.themoviedb.org/movie/756403
182,The Marksman,70,"Action, Thriller, Crime, Adventure
",        01/15/2021       ,1h 48m,Robert Lorenz,https://www.themoviedb.org/movie/634528
183,The Whole Truth,63.0,"Horror
",        12/02/2021       ,2h 5m,Wisit Sasanatieng,https://www.themoviedb.org/movie/895001
184,Dangerous,62.0,"Action, Thriller
",        11/05/2021       ,1h 39m,David Hackl,https://www.themoviedb.org/movie/763788
185,Tarumama,48.0,"Horror, Drama
",        07/29/2021       ,1h 30m,Andres Beltran,https://www.themoviedb.org/movie/775943
186,West Side Story,72.0,"Drama, Romance, Crime
",        12/10/2021       ,2h 37m,Steven Spielberg,https://www.themoviedb.org/movie/511809
